公司名称,城市,薪资,公司规模,地址
唯存（上海）网络科技有限公司,上海,10k-15k,150-500人,2号线_陆家嘴;2号线_南京东路;8号线_大世界;10号线_南京东路;10号线_豫园;10号线_南京东路;10号线_豫园
径卫视觉科技（上海）有限公司,上海,18k-25k,150-500人,8号线_江浦路;8号线_黄兴路;12号线_江浦公园;12号线_宁国路
上海汇翼信息科技有限公司,上海,15k-25k,150-500人,2号线_张江高科
上海识装信息科技有限公司,上海,15k-30k,500-2000人,3号线_赤峰路;3号线_虹口足球场;3号线_东宝兴路;4号线_海伦路;8号线_西藏北路;8号线_虹口足球场;8号线_曲阳路;10号线_邮电新村;10号线_海伦路;10号线_邮电新村;10号线_海伦路
瞬联软件科技（北京）有限公司,上海,8k-10k,500-2000人,2号线_淞虹路
上海大岂网络科技有限公司,上海,18k-25k,50-150人,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_交通大学;10号线_虹桥路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海商涌网络科技有限公司,上海,15k-20k,50-150人,2号线_金科路;2号线_张江高科
上海悦易网络信息技术有限公司,上海,15k-25k,2000人以上,10号线_殷高东路;10号线_三门路;10号线_江湾体育场;10号线_五角场;10号线_殷高东路;10号线_三门路;10号线_江湾体育场;10号线_五角场
上海骞云信息科技有限公司,上海,17k-34k,50-150人,12号线_隆昌路;12号线_爱国路
精硕科技（北京）股份有限公司,上海,15k-25k,500-2000人,3号线_曹杨路;3号线_金沙江路;4号线_金沙江路;4号线_曹杨路;11号线_枫桥路;11号线_曹杨路;11号线_曹杨路;11号线_枫桥路;13号线_大渡河路;13号线_金沙江路
上海华钦信息科技股份有限公司,上海,16k-25k,500-2000人,2号线_东昌路;2号线_陆家嘴
上海砸立电子商务有限公司,上海,10k-20k,50-150人,
上海掌小门教育科技有限公司,上海,13k-26k,2000人以上,3号线_虹口足球场;3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;4号线_临平路;8号线_虹口足球场;10号线_邮电新村;10号线_海伦路;10号线_四川北路;10号线_邮电新村;10号线_海伦路;10号线_四川北路;12号线_国际客运中心
上海舟恩信息技术有限公司,上海,10k-12k,150-500人,9号线_桂林路;12号线_虹漕路;12号线_桂林公园
上海欢兽实业有限公司,上海,18k-30k,500-2000人,1号线_新闸路;1号线_汉中路;1号线_上海火车站;1号线_中山北路;3号线_上海火车站;4号线_上海火车站;8号线_曲阜路;8号线_中兴路;12号线_汉中路;12号线_曲阜路;13号线_江宁路;13号线_汉中路;13号线_自然博物馆
公司名称,城市,薪资,公司规模,地址
上海掌小门教育科技有限公司,上海,15k-25k,2000人以上,3号线_虹口足球场;3号线_东宝兴路;3号线_宝山路;4号线_宝山路;4号线_海伦路;4号线_临平路;8号线_虹口足球场;10号线_邮电新村;10号线_海伦路;10号线_四川北路;10号线_邮电新村;10号线_海伦路;10号线_四川北路;12号线_国际客运中心
上海华钦信息科技股份有限公司,上海,12k-20k,500-2000人,2号线_世纪公园;2号线_上海科技馆;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线)
上海你我贷互联网金融信息服务有限公司,上海,20k-35k,500-2000人,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;9号线_世纪大道
沪江教育科技（上海）股份有限公司,上海,12k-20k,500-2000人,2号线_金科路
径卫视觉科技（上海）有限公司,上海,20k-30k,150-500人,8号线_江浦路;8号线_黄兴路;12号线_江浦公园;12号线_宁国路
上海阑途信息技术有限公司,上海,10k-17k,2000人以上,1号线_外环路;1号线_莲花路;12号线_顾戴路
上海微问家信息技术有限公司,上海,12k-24k,150-500人,
上海海万信息科技股份有限公司,上海,10k-11k,500-2000人,4号线_临平路;4号线_大连路;4号线_杨树浦路;8号线_鞍山新村;12号线_提篮桥;12号线_大连路;12号线_江浦公园
上海数禾信息科技有限公司,上海,20k-40k,500-2000人,2号线_金科路;2号线_张江高科
上海钦文信息科技有限公司,上海,15k-20k,500-2000人,2号线_金科路
上海纵游网络技术有限公司,上海,15k-20k,150-500人,4号线_临平路;4号线_大连路;4号线_杨树浦路;8号线_鞍山新村;12号线_提篮桥;12号线_大连路;12号线_江浦公园
苏州工业园区凌志软件股份有限公司,上海,13k-15k,2000人以上,1号线_常熟路;1号线_陕西南路;2号线_南京西路;2号线_静安寺;7号线_常熟路;7号线_静安寺;7号线_昌平路;10号线_陕西南路;10号线_陕西南路;12号线_陕西南路;12号线_南京西路;13号线_南京西路;13号线_淮海中路
空中云汇（上海）网络科技有限公司,上海,20k-25k,150-500人,1号线_黄陂南路;8号线_陆家浜路;8号线_老西门;8号线_大世界;9号线_陆家浜路;9号线_马当路;10号线_豫园;10号线_老西门;10号线_新天地;10号线_豫园;10号线_老西门;10号线_新天地;13号线_淮海中路;13号线_新天地;13号线_马当路
百安居（中国）投资有限公司,上海,15k-20k,2000人以上,2号线_龙阳路;2号线_世纪公园;7号线_龙阳路;磁悬浮_龙阳路
广州源创信息科技有限公司,上海,15k-25k,50-150人,4号线_临平路;4号线_大连路;4号线_杨树浦路;8号线_鞍山新村;12号线_提篮桥;12号线_大连路;12号线_江浦公园
公司名称,城市,薪资,公司规模,地址
上海华钦信息科技股份有限公司,上海,13k-25k,500-2000人,2号线_东昌路;2号线_陆家嘴
上海海万信息科技股份有限公司,上海,10k-18k,500-2000人,7号线_云台路;7号线_耀华路;7号线_长清路;8号线_耀华路;8号线_中华艺术宫;13号线_世博大道;13号线_长清路
上海陆家嘴国际金融资产交易市场股份有限公司,上海,13k-26k,2000人以上,2号线_东昌路;2号线_陆家嘴;12号线_国际客运中心
上海热璞网络科技有限公司,上海,15k-25k,50-150人,3号线_延安西路;3号线_虹桥路;4号线_虹桥路;4号线_延安西路;10号线_虹桥路;10号线_宋园路;10号线_伊犁路;10号线_虹桥路;10号线_宋园路;10号线_伊犁路
广发证券股份有限公司,上海,25k-45k,2000人以上,2号线_世纪大道;2号线_东昌路;4号线_浦东大道;4号线_世纪大道;4号线_浦电路(4号线);6号线_浦电路(6号线);6号线_世纪大道;6号线_源深体育中心;9号线_世纪大道;9号线_商城路
北京市商汤科技开发有限公司,上海,18k-35k,2000人以上,1号线_徐家汇;1号线_衡山路;7号线_肇嘉浜路;9号线_肇嘉浜路;9号线_徐家汇;10号线_上海图书馆;10号线_交通大学;10号线_上海图书馆;10号线_交通大学;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
上海联蔚信息科技有限公司南京分公司,上海,10k-15k,500-2000人,
上海钧正网络科技有限公司,上海,15k-30k,2000人以上,
空中云汇（上海）网络科技有限公司,上海,3k-4k,150-500人,1号线_黄陂南路;8号线_陆家浜路;8号线_老西门;8号线_大世界;9号线_陆家浜路;9号线_马当路;10号线_豫园;10号线_老西门;10号线_新天地;10号线_豫园;10号线_老西门;10号线_新天地;13号线_淮海中路;13号线_新天地;13号线_马当路
上海东福网络科技有限公司,上海,15k-20k,500-2000人,2号线_中山公园;2号线_娄山关路;3号线_中山公园;3号线_延安西路;4号线_延安西路;4号线_中山公园
上海虎烨信息科技有限公司,上海,18k-35k,50-150人,2号线_静安寺;2号线_江苏路;7号线_静安寺;11号线_江苏路;11号线_江苏路
上海快仓智能科技有限公司,上海,15k-25k,150-500人,9号线_漕河泾开发区
上海维信荟智金融科技有限公司,上海,22k-25k,2000人以上,2号线_南京东路;3号线_宝山路;4号线_宝山路;4号线_海伦路;8号线_曲阜路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;12号线_曲阜路;12号线_天潼路;12号线_国际客运中心
上海微创软件股份有限公司,上海,9k-12k,2000人以上,
上海爱可生信息技术股份有限公司,上海,10k-20k,150-500人,9号线_漕河泾开发区;9号线_合川路;12号线_虹梅路;12号线_虹漕路
公司名称,城市,薪资,公司规模,地址
上海海万信息科技股份有限公司,上海,12k-15k,500-2000人,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;6号线_源深体育中心;9号线_世纪大道
上海华钦信息科技股份有限公司,上海,20k-27k,500-2000人,2号线_上海科技馆;2号线_世纪大道;4号线_世纪大道;4号线_浦电路(4号线);4号线_蓝村路;4号线_塘桥;6号线_蓝村路;6号线_浦电路(6号线);6号线_世纪大道;9号线_世纪大道
上海中软华腾软件系统有限公司,上海,14k-18k,2000人以上,2号线_东昌路;2号线_陆家嘴;4号线_浦东大道;12号线_国际客运中心;12号线_提篮桥
上海微创软件股份有限公司,上海,15k-22k,2000人以上,2号线_娄山关路;3号线_延安西路;4号线_延安西路;10号线_伊犁路;10号线_水城路;10号线_伊犁路;10号线_水城路
爱克发医疗系统设备(上海)有限公司,上海,18k-22k,150-500人,1号线_黄陂南路;1号线_人民广场;1号线_新闸路;2号线_人民广场;2号线_南京西路;8号线_大世界;8号线_人民广场;8号线_曲阜路;12号线_南京西路;12号线_曲阜路;13号线_自然博物馆;13号线_南京西路;13号线_淮海中路
平安国际融资租赁有限公司,上海,15k-25k,500-2000人,
上海诺亚金融服务有限公司,上海,15k-25k,2000人以上,8号线_黄兴路;12号线_江浦公园;12号线_宁国路;12号线_隆昌路
上海懿天网络科技有限公司,上海,15k-25k,15-50人,1号线_上海体育馆;3号线_漕溪路;3号线_龙漕路;4号线_上海体育场;4号线_上海体育馆;7号线_龙华中路;11号线_上海游泳馆;11号线_龙华;11号线_龙华;11号线_上海游泳馆;12号线_龙漕路;12号线_龙华;12号线_龙华中路
众安在线财产保险股份有限公司,上海,15k-28k,2000人以上,2号线_南京东路;3号线_宝山路;4号线_宝山路;4号线_海伦路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;10号线_海伦路;10号线_四川北路;10号线_天潼路;10号线_南京东路;12号线_天潼路;12号线_国际客运中心
再惠（上海）网络科技有限公司,上海,15k-25k,500-2000人,1号线_徐家汇;3号线_虹桥路;3号线_宜山路;4号线_虹桥路;9号线_徐家汇;9号线_宜山路;10号线_交通大学;10号线_虹桥路;10号线_宋园路;10号线_交通大学;10号线_虹桥路;10号线_宋园路;11号线_交通大学;11号线_徐家汇;11号线_徐家汇;11号线_交通大学
迪卡侬（上海）体育用品有限公司,上海,18k-20k,2000人以上,6号线_洲海路;6号线_外高桥保税区南;6号线_航津路
学识堂科技（上海）有限公司,上海,18k-25k,15-50人,1号线_上海马戏城;1号线_汶水路
哈曼智联科技（成都）有限公司,上海,10k-20k,2000人以上,
上海炽聚网络科技有限公司,上海,10k-20k,50-150人,1号线_上海南站;1号线_漕宝路;3号线_漕溪路;3号线_龙漕路;3号线_石龙路;3号线_上海南站;12号线_桂林公园;12号线_漕宝路;12号线_龙漕路
上海滔瑞信息技术有限公司,上海,7k-10k,15-50人,16号线_周浦东
